scene,scene_type,config,model,total_images,images_registered,registration_ratio,points_3d,mean_reprojection_error,total_observations,obs_per_point,avg_track_length,std_track_length,median_track_length,max_track_length,num_connected_components,execution_time_sec,sparse_path,images_path,timestamp
garden,outdoor,Cam_OpenCV,OPENCV,185,185,1.0,146084,1.2355733888773044,971745,6.651960515867583,6.651960515867583,6.063820936371444,4.0,113.0,1,4028.128087043762,expC/sparse/garden/Cam_OpenCV/0,data/garden/images,2026-05-13T01:47:35.974536
garden,outdoor,Ext_HighFeatures,OPENCV,185,185,1.0,142190,1.2419694496282054,948606,6.671397425979324,6.671397425979324,6.090976571350304,4.0,114.0,1,3868.161248207092,expC/sparse/garden/Ext_HighFeatures/0,data/garden/images,2026-05-13T02:52:06.309596
bonsai,indoor,Cam_OpenCV,OPENCV,292,292,1.0,100162,0.3779856307917935,949954,9.484175635470535,9.484175635470535,9.297790433998598,6.0,132.0,1,2416.904538154602,expC/sparse/bonsai/Cam_OpenCV/0,data/bonsai/images_4,2026-05-13T03:32:23.881410
bonsai,indoor,Ext_HighFeatures,OPENCV,292,292,1.0,98402,0.3807744992489498,950156,9.655860653238756,9.655860653238756,9.427109285217297,6.0,133.0,1,2415.0849158763885,expC/sparse/bonsai/Ext_HighFeatures/0,data/bonsai/images_4,2026-05-13T04:12:39.342548
garden,outdoor,Cam_Pinhole,PINHOLE,185,185,1.0,146010,1.2353086949999903,971451,6.6533182658722,6.6533182658722,6.064489349918102,4.0,114.0,1,3933.363018989563,expC/sparse/garden/Cam_Pinhole/0,data/garden/images,2026-05-13T05:18:14.402904
bonsai,indoor,Cam_Pinhole,PINHOLE,292,292,1.0,60813,1.1016977376938013,459385,7.5540591649811715,7.5540591649811715,6.643919965831621,5.0,89.0,1,3597.5500943660736,expC/sparse/bonsai/Cam_Pinhole/0,data/bonsai/images_4,2026-05-13T06:18:12.408513
garden,outdoor,Ext_LowFeatures,OPENCV,185,185,1.0,81606,1.3256062977001857,512587,6.281241575374359,6.281241575374359,5.531796037631054,4.0,104.0,1,1310.7530369758606,expC/sparse/garden/Ext_LowFeatures/0,data/garden/images,2026-05-13T06:40:03.607981
bonsai,indoor,Ext_LowFeatures,OPENCV,292,292,1.0,94480,0.3826247730823167,850777,9.00483700254022,9.00483700254022,8.811183086900117,5.0,132.0,1,2048.094259262085,expC/sparse/bonsai/Ext_LowFeatures/0,data/bonsai/images_4,2026-05-13T07:14:12.375666
garden,outdoor,Match_Strict,OPENCV,185,185,1.0,130468,1.1661918055105234,907934,6.959055093969402,6.959055093969402,6.219740664215646,5.0,104.0,1,4723.3181664943695,expC/sparse/garden/Match_Strict/0,data/garden/images,2026-05-13T10:46:12.862758
garden,outdoor,Match_Loose,OPENCV,185,185,1.0,148290,1.2366371329859362,976621,6.585885764380605,6.585885764380605,6.045671400761531,4.0,113.0,1,4067.003432989121,expC/sparse/garden/Match_Loose/0,data/garden/images,2026-05-13T11:54:01.284377
bonsai,indoor,Match_Strict,OPENCV,292,292,1.0,74536,0.3721384011727692,752302,10.093136202640334,10.093136202640334,9.769585344089316,6.0,132.0,1,2922.014849424362,expC/sparse/bonsai/Match_Strict/0,data/bonsai/images_4,2026-05-13T12:42:44.607409
bonsai,indoor,Match_Loose,OPENCV,292,292,1.0,71672,1.1480192735136958,492720,6.874651188748745,6.874651188748745,6.380168509124037,4.0,81.0,1,3938.0329473018646,expC/sparse/bonsai/Match_Loose/0,data/bonsai/images_4,2026-05-13T13:48:23.440997
garden,outdoor,Map_Robust,OPENCV,185,185,1.0,146085,1.235152910528892,971757,6.651997124961495,6.651997124961495,6.0644495951128485,4.0,113.0,1,4041.641544818878,expC/sparse/garden/Map_Robust/0,data/garden/images,2026-05-13T14:55:46.515197
bonsai,indoor,Map_Robust,OPENCV,292,10,0.03424657534246575,1410,0.6882973075754144,8002,5.675177304964539,5.675177304964539,2.4371869619936604,6.0,12.0,2,2271.6606328487396,expC/sparse/bonsai/Map_Robust/0,data/bonsai/images_4,2026-05-13T15:33:38.380554
